City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ust-Shonosha,RU,61.1531,41.343,36.93,96,100,9.15,light rain
79,Avera,US,33.194,-82.5271,69.31,48,73,7.34,broken clouds
80,East London,ZA,-33.0153,27.9116,63.18,75,96,11.41,overcast clouds
81,Castro,BR,-24.7911,-50.0119,54.36,88,2,3.89,clear sky
82,Port Alfred,ZA,-33.5906,26.891,56.17,92,99,1.99,overcast clouds
83,Reconquista,AR,-29.15,-59.65,62.91,62,39,4.74,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,75,13.8,broken clouds
85,Dikson,RU,73.5069,80.5464,26.8,95,100,26.71,light snow
86,Kodiak,US,57.79,-152.4072,49.51,40,0,18.41,clear sky
87,Mao,ES,39.8885,4.2658,61.36,72,20,3.44,few clouds
88,Vostok,RU,46.4856,135.8833,40.6,71,83,4.79,broken clouds
89,Saskylakh,RU,71.9167,114.0833,9.57,94,95,13.67,overcast clouds
90,Hermosillo,MX,29.0667,-110.9667,97.68,19,0,14.97,clear sky
91,Ushuaia,AR,-54.8,-68.3,44.26,65,40,12.66,light intensity drizzle
92,Lorengau,PG,-2.0226,147.2712,84.65,71,59,16.75,broken clouds
93,Georgetown,MY,5.4112,100.3354,82.33,91,20,5.75,light rain
94,Saint Stephen,GB,50.3333,-4.9,52.21,71,57,10.36,broken clouds
95,Severo-Kurilsk,RU,50.6789,156.125,38.57,95,100,17.22,moderate rain
96,Baykit,RU,61.67,96.37,23.38,92,95,2.86,overcast clouds
97,Green River,US,41.5286,-109.4662,57.97,30,99,5.99,overcast clouds
98,Ponyri,RU,52.3186,36.3039,49.89,93,100,6.04,overcast clouds
99,Kodinsk,RU,58.6881,99.1844,25.88,80,99,6.22,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,16.52,83,60,5.86,broken clouds
101,Mount Gambier,AU,-37.8333,140.7667,44.8,89,90,4.41,overcast clouds
102,Afua,BR,-0.1567,-50.3867,75.31,96,100,6.98,overcast clouds
103,Constitucion,CL,-35.3333,-72.4167,54.3,92,100,6.44,overcast clouds
104,Zarubino,RU,42.63,131.0922,47.28,54,19,9.46,few clouds
105,Telfs,AT,47.3,11.0667,56.82,95,93,2.77,overcast clouds
106,Cape Town,ZA,-33.9258,18.4232,58.91,84,0,1.14,clear sky
107,Bilma,NE,18.6853,12.9164,92.19,11,93,2.51,overcast clouds
108,Port-Gentil,GA,-0.7193,8.7815,82.36,89,40,5.75,scattered clouds
109,Kharp,RU,66.8014,65.8081,33.64,99,100,1.59,overcast clouds
110,Harrisonville,US,38.6533,-94.3488,76.78,57,100,13.8,overcast clouds
111,Sinnamary,GF,5.3833,-52.95,78.46,84,22,9.73,few clouds
112,Campbellsville,US,37.3434,-85.3419,69.94,49,28,1.01,scattered clouds
113,Wilkie,CA,52.4168,-108.7014,53.98,54,89,12.3,light rain
114,Kanker,IN,20.2719,81.4931,78.01,31,35,4.99,scattered clouds
115,Poitiers,FR,46.5833,0.3333,62.78,57,0,4.61,clear sky
116,Thompson,CA,55.7435,-97.8558,60.96,36,20,17.27,few clouds
117,Acapulco,MX,16.8634,-99.8901,84.02,70,0,12.66,smoke
118,Chokurdakh,RU,70.6333,147.9167,16.43,86,61,8.88,broken clouds
119,Kollam,IN,8.8833,76.6,82.22,85,99,10.38,overcast clouds
120,Kamenka,RU,51.3223,42.7678,47.57,52,0,1.59,clear sky
121,Viedma,AR,-40.8135,-62.9967,63.46,40,100,13.91,overcast clouds
122,Sedona,US,34.8697,-111.761,81.99,12,0,23.02,clear sky
123,Keningau,MY,5.3378,116.1602,72.16,99,100,1.88,overcast clouds
124,Aksu,CN,41.1231,80.2644,70.34,31,0,3.74,clear sky
125,Vaini,TO,-21.2,-175.2,78.96,69,20,9.22,few clouds
126,Shitanjing,CN,39.2342,106.3439,48.04,63,1,2.95,clear sky
127,Thunder Bay,CA,48.4001,-89.3168,50.29,53,100,10.36,overcast clouds
128,Luganville,VU,-15.5333,167.1667,79.65,70,81,13.73,broken clouds
129,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,0,8.05,clear sky
130,Katsuura,JP,35.1333,140.3,60.82,69,100,13.49,light rain
131,Qaanaaq,GL,77.484,-69.3632,24.4,81,100,3.09,overcast clouds
132,Bourail,NC,-21.5667,165.4833,74.73,59,97,7.9,overcast clouds
133,Kudahuvadhoo,MV,2.6708,72.8944,84.04,78,100,18.99,very heavy rain
134,Nanortalik,GL,60.1432,-45.2371,37.2,89,100,0.45,overcast clouds
135,Saint-Joseph,RE,-21.3667,55.6167,70.18,82,16,7.96,few clouds
136,Fuyang,CN,32.9,115.8167,59.34,47,100,11.36,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,84.81,66,97,18.39,overcast clouds
138,Hargeysa,SO,9.56,44.065,72.75,61,73,4.83,broken clouds
139,Khatanga,RU,71.9667,102.5,4.62,96,45,8.9,scattered clouds
140,Limbe,CM,4.0242,9.2149,80.04,84,98,5.1,light rain
141,Kandi,BJ,11.1342,2.9386,82.38,55,100,7.43,overcast clouds
142,Kahului,US,20.8947,-156.47,86.02,48,40,17.27,scattered clouds
143,Mahebourg,MU,-20.4081,57.7,72.25,88,20,4.61,few clouds
144,Lasa,IT,46.6166,10.7002,52.68,96,99,1.16,overcast clouds
145,Cidreira,BR,-30.1811,-50.2056,66.76,79,0,14.05,clear sky
146,Garzon,CO,2.1959,-75.6278,76.5,83,75,4.9,broken clouds
147,Steinbach,DE,50.1667,8.5667,59.99,55,0,13.8,clear sky
148,Mattru,SL,7.6244,-11.8332,75.76,93,100,2.82,overcast clouds
149,Rindal,NO,63.0565,9.2124,37.35,72,100,5.7,light rain
150,Natal,BR,-5.795,-35.2094,80.82,83,0,12.66,clear sky
151,Waipawa,NZ,-41.4122,175.5153,59.83,77,100,15.7,overcast clouds
152,Tombouctou,ML,20.0,-3.0,82.04,7,0,11.16,clear sky
153,Cuauhtemoc,MX,28.4167,-106.8667,84.33,7,0,24.36,clear sky
154,Takoradi,GH,4.8845,-1.7554,80.8,83,92,10.94,overcast clouds
155,West Bay,KY,19.3667,-81.4167,87.08,75,40,9.22,scattered clouds
156,Requena,ES,39.4883,-1.1004,52.52,60,42,2.8,scattered clouds
157,Port Elizabeth,ZA,-33.918,25.5701,61.09,97,100,5.75,light intensity drizzle rain
158,Cotonou,BJ,6.3654,2.4183,84.18,79,40,11.5,scattered clouds
159,Saquarema,BR,-22.92,-42.5103,73.44,74,47,6.73,scattered clouds
160,College,US,64.8569,-147.8028,45.23,55,75,10.36,broken clouds
161,Komsomolskiy,UZ,40.4272,71.7189,70.52,46,0,9.22,clear sky
162,Saint Anthony,US,45.0205,-93.218,60.75,68,100,17.27,overcast clouds
163,Chabahar,IR,25.2919,60.643,82.22,74,0,11.14,clear sky
164,Rocha,UY,-34.4833,-54.3333,57.33,82,0,5.41,clear sky
165,Baruun-Urt,MN,46.6806,113.2792,53.64,27,97,23.17,overcast clouds
166,Billund,DK,55.7335,9.1078,49.6,87,54,6.91,broken clouds
167,Mattawa,US,46.7379,-119.9028,59.0,40,62,7.0,broken clouds
168,Ottumwa,US,41.02,-92.4113,70.34,52,100,16.11,overcast clouds
169,Bandarbeyla,SO,9.4942,50.8122,82.47,83,14,8.7,light rain
170,Tura,IN,25.5198,90.2201,70.68,87,9,4.32,clear sky
171,Lata,PT,40.1629,-8.3327,58.05,76,6,0.92,clear sky
172,Rapar,IN,23.5667,70.6333,81.32,65,0,16.46,clear sky
173,Panzhihua,CN,26.5851,101.7128,67.28,83,31,0.58,scattered clouds
174,Nome,US,64.5011,-165.4064,33.17,93,100,19.57,light snow
175,Kruisfontein,ZA,-34.0033,24.7314,55.42,67,96,4.0,overcast clouds
176,Umm Kaddadah,SD,13.6017,26.6876,82.72,7,56,12.73,broken clouds
177,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,20,4.61,few clouds
178,Touros,BR,-5.1989,-35.4608,79.14,84,100,13.76,overcast clouds
179,Yulara,AU,-25.2406,130.9889,48.04,46,100,6.91,overcast clouds
180,Erenhot,CN,43.6475,111.9767,52.39,24,3,10.85,clear sky
181,Ust-Kuyga,RU,70.0167,135.6,25.77,92,100,2.37,light snow
182,Vanimo,PG,-2.6741,141.3028,80.69,85,100,6.22,overcast clouds
183,Necochea,AR,-38.5473,-58.7368,64.81,70,16,8.66,few clouds
184,Richards Bay,ZA,-28.783,32.0377,65.3,89,97,10.27,light rain
185,Conde,BR,-7.2597,-34.9075,76.46,88,20,10.36,few clouds
186,Placido De Castro,BR,-10.3353,-67.1856,80.71,68,76,2.44,broken clouds
187,Nuuk,GL,64.1835,-51.7216,32.61,93,75,13.8,broken clouds
188,Horodnytsya,UA,50.807,27.3168,54.1,86,97,4.79,overcast clouds
189,El Chol,GT,14.9642,-90.4806,81.5,48,28,6.2,scattered clouds
190,Ponta Do Sol,PT,32.6667,-17.1,63.23,72,66,7.07,broken clouds
191,Cam Ranh,VN,11.9214,109.1591,78.76,89,40,2.3,scattered clouds
